timestamp,Open,High,Low,Close,Volume,OI Open,OI High,OI Low,OI Close,FR Open,FR High,FR Low,FR Close
2023-04-22,27242.5,27857.5,27118.0,27790.0,1598.557,2476816.0,147270615.0,879289.0,2373129.0,0.0,0.0109,-0.01,0.0
2023-04-23,27790.0,27790.5,27305.0,27569.0,1498.882,2373129.0,136464020.0,854239.0,2514954.0,0.0,0.0109,-0.01,0.0
2023-04-24,27569.0,27977.0,26942.5,27487.5,2514.17,2514954.0,139531721.0,874297.0,2411606.0,0.0,0.0109,-0.01,0.0
2023-04-25,27487.5,28371.0,27176.5,28274.5,1492.539,2411606.0,150241680.0,910245.0,2663041.0,0.0,0.0103,-0.01,0.0
2023-04-26,28274.5,30022.5,27200.0,28403.0,6952.085,2663041.0,176514572.0,992904.0,2684988.0,0.0,0.0109,-0.01,0.0
2023-04-27,28403.0,29866.0,28366.5,29458.5,3986.224,2684988.0,152092843.0,1122777.0,2873982.0,0.0,0.01,-0.01,0.0
2023-04-28,29458.5,29575.0,28890.5,29301.0,2962.099,2873982.0,150849417.0,1178236.0,2887876.0,0.0,0.01,-0.01,0.0
2023-04-29,29301.0,29438.5,29039.5,29219.5,1126.175,2887876.0,136217090.0,1182363.0,2827513.0,0.0,0.01,-0.01,0.0
2023-04-30,29219.5,29948.0,29083.5,29222.5,2572.673,2827513.0,161545809.0,1151284.0,2643453.0,0.0,0.0109,-0.01,0.0
2023-05-01,29222.5,29328.5,27650.0,28054.0,5320.775,2643453.0,133672844.0,1080061.0,2479866.0,0.0,0.0109,-0.01,0.0
2023-05-02,28054.0,28877.0,27867.5,28663.5,3056.636,2479866.0,153340382.0,1100916.0,2820781.0,0.0,0.0109,-0.01,0.0
2023-05-03,28663.5,29254.0,28098.5,29024.0,3405.112,2820781.0,136901986.0,1270343.0,2898993.0,0.0,0.0109,-0.01,0.0
2023-05-04,29024.0,29371.0,28657.0,28823.5,2128.486,2898993.0,157532697.0,1287762.0,2749199.0,0.0,0.0109,-0.01,0.0
2023-05-05,28823.5,29685.5,28771.5,29515.5,3964.907,2749199.0,147995525.0,1230159.0,2979291.0,0.0,0.0109,-0.01,0.0
2023-05-06,29515.5,29853.5,28356.5,28877.0,4129.555,2979291.0,165658134.0,1303307.0,2662020.0,0.0,0.03,-0.01,0.0
2023-05-07,28877.0,29169.0,28406.5,28439.0,2262.154,2662020.0,141724122.0,1456198.0,2753764.0,0.0,0.0109,-0.01,0.0
2023-05-08,28439.0,28640.0,27261.0,27662.0,3945.593,2753764.0,147562312.0,1303749.0,2367354.0,0.0,0.0109,-0.01,0.0
2023-05-09,27662.0,27815.5,27350.0,27622.5,1730.152,2367354.0,135416636.0,1759131.0,2260210.0,0.0,0.0109,-0.01,0.0
2023-05-10,27622.5,28312.0,26736.5,27591.0,5465.177,2260210.0,170602270.0,1729576.0,2406942.0,0.0,0.0109,-0.01,0.0
2023-05-11,27591.0,27626.5,26692.0,26965.5,2382.03,2406942.0,153778259.0,1484682.0,2225488.0,0.0,0.0109,-0.01,0.0
2023-05-12,26965.5,27074.0,25793.5,26775.0,4263.645,2225488.0,169312014.0,1283144.0,2317019.0,0.0,0.0109,-0.01,0.0
2023-05-13,26775.0,27037.0,26675.0,26767.5,1497.611,2317019.0,176433566.0,1616240.0,2283476.0,0.0,0.01,-0.01,0.0
2023-05-14,26767.5,27193.5,26541.5,26897.5,1627.265,2283476.0,188519958.0,1690351.0,2199694.0,0.0,0.0109,-0.01,0.0
2023-05-15,26897.5,27662.5,26716.0,27142.0,2400.763,2199694.0,222610065.0,1873153.0,2301161.0,0.0,0.0109,0.0,0.0
2023-05-16,27142.0,27285.0,26833.0,27021.5,2409.126,2301161.0,177261525.0,2024783.0,2288231.0,0.0,0.0109,0.0,0.0
2023-05-17,27021.5,27518.0,26514.0,27385.5,2557.562,2288231.0,162160173.0,1878479.0,2314919.0,0.0,0.0109,0.0,0.0
2023-05-18,27385.5,27462.5,26341.0,26803.5,3064.916,2314919.0,161364918.0,1791829.0,1888375.0,0.0,0.03,0.0,0.0
2023-05-19,26803.5,27169.0,26612.5,26863.5,1243.458,1888375.0,135494517.0,1823564.0,1970945.0,0.0,0.0109,0.0,0.0
2023-05-20,26863.5,27142.0,26814.5,27090.0,591.324,1970945.0,145888172.0,1885315.0,1967972.0,0.0,0.0109,-0.01,0.0
2023-05-21,27090.0,27263.0,26653.0,26743.0,1939.683,1967972.0,156030851.0,1835381.0,1899590.0,0.0,0.0109,0.0,0.0
2023-05-22,26743.0,27091.0,26520.5,26840.0,1630.342,1899590.0,156365271.0,1823723.0,1970732.0,0.0,0.0109,0.0,0.0
2023-05-23,26840.0,27484.0,26789.0,27207.5,2280.463,1970732.0,162933765.0,1847463.0,1933837.0,0.0,0.0109,0.0,0.0
2023-05-24,27207.5,27211.0,26052.5,26310.5,3371.309,1933837.0,171324145.0,1587574.0,1675625.0,0.0,0.0109,0.0,0.0
2023-05-25,26310.5,26611.5,25845.5,26462.0,2016.679,1675625.0,143055927.0,1366592.0,1747889.0,0.0,0.0109,0.0,0.0
2023-05-26,26462.0,26942.5,26315.0,26698.0,2179.41,1747889.0,161822498.0,1633357.0,1649753.0,0.0,0.0109,0.0,0.0
2023-05-27,26698.0,26873.5,26538.5,26854.5,1007.674,1649753.0,154786912.0,1613814.0,1624838.0,0.0,0.0109,0.0,0.0
2023-05-28,26854.5,28262.0,26771.5,28078.5,2695.508,1624838.0,162243178.0,1372696.0,1718485.0,0.0,0.0,0.0,0.0
2023-05-29,28078.5,28435.0,27522.0,27731.5,2161.012,1695944.0,159684506.0,1335320.0,1804052.0,0.0,0.0109,0.0,0.0
2023-05-30,27731.5,28035.0,27542.5,27683.0,2033.819,1804052.0,147258375.0,1471413.0,1763577.0,0.0,0.0109,0.0,0.0
2023-05-31,27683.0,27830.0,26821.0,27200.0,3484.169,1763577.0,155636476.0,1565198.0,1814739.0,0.0,0.0109,0.0,0.0
2023-06-01,27200.0,27339.0,26586.0,26796.0,2760.541,1814739.0,145185911.0,1470495.0,1785455.0,0.0,0.0109,0.0,0.0
2023-06-02,26796.0,27295.5,26486.5,27226.5,3051.123,1785455.0,142234453.0,1508197.0,1800369.0,0.0,0.0109,0.0,0.0
2023-06-03,27226.5,27318.0,26905.0,27052.5,1712.587,1800369.0,136003751.0,1636623.0,1868903.0,0.0,0.0109,-0.01,0.0
2023-06-04,27052.5,27461.0,26939.0,27098.0,1283.48,1868903.0,139509476.0,1562260.0,1855104.0,0.0,0.0109,-0.01,0.0
2023-06-05,27098.0,27110.0,25360.5,25708.5,3695.334,1855104.0,143988155.0,1573333.0,2010011.0,0.0,0.0109,-0.01,0.0
2023-06-06,25708.5,27354.0,25340.5,27235.0,2746.46,2010011.0,180093251.0,2004996.0,2100340.0,0.0,0.0109,-0.01,0.0
2023-06-07,27235.0,27384.0,26117.0,26328.5,3025.506,2100340.0,162213146.0,1707662.0,2111590.0,0.0,0.0109,0.0,0.0
2023-06-08,26328.5,26805.5,26205.0,26482.5,2367.939,2012680.0,142846920.0,1922340.0,1939707.0,0.0,0.0109,0.0,0.0
2023-06-09,26482.5,26771.5,26271.5,26472.0,2902.871,1939707.0,144385368.0,1705702.0,1749467.0,0.0,0.0109,0.0,0.0
2023-06-10,26472.0,26514.5,25350.0,25830.0,3494.661,1749467.0,143178424.0,1703639.0,1875932.0,0.0,0.0109,-0.01,0.0
2023-06-11,25830.0,26196.0,25622.5,25925.5,1703.61,1875932.0,134956179.0,1860357.0,2052725.0,0.0,0.0109,-0.01,0.0
2023-06-12,25925.5,26085.5,25606.5,25887.5,2496.637,2052725.0,166792149.0,1968048.0,1995312.0,0.0,0.0109,0.0,0.0
2023-06-13,25887.5,26428.5,25701.5,25920.0,2387.255,1995312.0,159923235.0,1991551.0,155271444.0,0.0,0.0109,0.0,0.0098
2023-06-14,25920.0,26072.5,24769.0,25101.5,2435.723,155271444.0,167083468.0,111245254.0,130213128.0,0.0098,0.0109,0.0014,0.0018
2023-06-15,25101.5,25730.5,24752.5,25572.5,3582.905,130213128.0,155481760.0,111089628.0,152577724.0,0.0018,0.0109,-0.01,0.0102
2023-06-16,25572.5,26488.0,25137.5,26323.0,3751.124,152577724.0,178778606.0,125683819.0,141680725.0,0.0102,0.0109,0.0091,0.0099
