timestamp,Open,High,Low,Close,Volume,OI Open,OI High,OI Low,OI Close,FR Open,FR High,FR Low,FR Close
2020-03-30,5867.5,6634.0,5843.0,6400.0,140301.7426949099,71642962.0,92702064.0,71642962.0,87634704.0,-0.0143,-0.0143,-0.0402,-0.0402
2020-03-31,6400.0,6530.0,6325.0,6424.0,91184.4809991585,86046718.0,101622412.0,86046718.0,101428952.0,-0.0132,0.01,-0.0137,-0.0137
2020-04-01,6424.0,6718.5,6155.0,6670.5,124976.9243767095,100688816.0,122306742.0,100688816.0,104986920.0,-0.0137,-0.012,-0.0399,-0.0399
2020-04-02,6670.5,7273.5,6571.5,6799.0,185506.1634760149,106186010.0,106186010.0,90698660.0,92831162.0,-0.0399,0.01,-0.0399,0.01
2020-04-03,6799.0,7060.0,6610.0,6738.5,129353.2305022958,88340446.0,105851086.0,88340446.0,92653280.0,0.01,0.01,-0.0156,0.01
2020-04-04,6738.5,7020.5,6642.0,6871.0,119537.5391562615,93652194.0,110996632.0,90994620.0,99234996.0,-0.0013,0.01,-0.0013,0.0089
2020-04-05,6871.0,6911.0,6661.0,6775.5,77271.0689759806,98108240.0,102440464.0,93122626.0,99488446.0,0.0089,0.01,0.0068,0.007
2020-04-06,6775.5,7375.0,6767.5,7339.0,129638.0269816481,98836152.0,114796328.0,96076802.0,114796328.0,0.007,0.01,-0.0136,0.01
2020-04-07,7339.0,7475.0,7080.0,7195.0,122640.727758799,104341962.0,124012702.0,104341962.0,119846588.0,0.01,0.01,-0.0153,-0.0153
2020-04-08,7195.0,7432.0,7150.5,7365.5,102800.7034452816,119871082.0,120970690.0,104558758.0,108652498.0,-0.0153,0.01,-0.0153,0.01
2020-04-09,7365.5,7372.0,7108.0,7293.0,89414.0969202612,110131048.0,128037772.0,110131048.0,122440544.0,0.0099,0.01,-0.0095,0.01
2020-04-10,7293.0,7307.0,6751.5,6868.5,129255.2771022717,123412162.0,139532612.0,114162026.0,123115934.0,0.01,0.01,-0.0414,-0.0414
2020-04-11,6868.5,6953.5,6767.0,6882.0,60566.1433098696,121801964.0,138552474.0,121801964.0,133304778.0,-0.0414,0.01,-0.0654,0.01
2020-04-12,6882.0,7194.0,6784.0,6906.0,94308.8553496997,133167136.0,135625618.0,109902864.0,109902864.0,0.01,0.01,-0.0329,-0.0327
2020-04-13,6906.0,6914.0,6551.0,6858.0,126701.8481653844,110518256.0,126643544.0,110518256.0,116999890.0,-0.0327,-0.0231,-0.0981,-0.0631
2020-04-14,6858.0,6986.5,6764.5,6873.0,88421.0780909089,117446850.0,120694198.0,110029688.0,119767798.0,-0.0631,0.0004,-0.0631,-0.017
2020-04-15,6873.0,6935.0,6609.5,6620.5,86352.7385665587,122583642.0,133182552.0,118180886.0,133182552.0,-0.017,-0.0006,-0.0484,-0.0006
2020-04-16,6620.5,7223.5,6464.5,7110.5,182175.6075757769,136589464.0,136589464.0,116877034.0,120707554.0,-0.0006,0.01,-0.0495,0.01
2020-04-17,7110.5,7152.0,7001.5,7027.5,81797.6116711104,121765750.0,123868628.0,110554766.0,121892252.0,0.01,0.01,0.01,0.01
2020-04-18,7027.5,7301.0,7022.5,7254.0,64986.8732908312,119809132.0,126804560.0,116501416.0,126581586.0,0.01,0.01,0.01,0.01
2020-04-19,7254.0,7269.5,7056.5,7126.0,67435.0263581796,125818114.0,130018222.0,119721152.0,120095462.0,0.01,0.01,0.01,0.01
2020-04-20,7126.0,7224.0,6755.0,6833.0,124658.7920747796,118398508.0,136454604.0,118398508.0,126476336.0,0.01,0.01,0.01,0.01
2020-04-21,6833.0,6948.5,6773.0,6848.5,76017.9062062496,126851628.0,126851628.0,114644570.0,116211618.0,-0.0443,-0.0122,-0.0443,-0.0122
2020-04-22,6848.5,7167.0,6821.5,7134.0,70228.5726556117,116216540.0,129016344.0,116216540.0,127556570.0,-0.0122,-0.0122,-0.0319,-0.0222
2020-04-23,7134.0,7801.0,7033.0,7493.0,126657.8780993197,127371582.0,127640464.0,113248886.0,117502528.0,-0.0222,0.01,-0.0222,0.01
